Date,Production
1962-01,589
1962-02,561
1962-03,640
1962-04,656
1962-05,727
1962-06,697
1962-07,640
1962-08,599
"1962-09,568",568
"1962-10,577",577
"1962-11,553",553
"1962-12,582",582
"1963-01,600",600
"1963-02,566",566
"1963-03,653",653
"1963-04,673",673
"1963-05,742",742
"1963-06,716",716
"1963-07,660",660
"1963-08,617",617
"1963-09,583",583
"1963-10,587",587
"1963-11,565",565
"1963-12,598",598
"1964-01,628",628
"1964-02,618",618
"1964-03,688",688
"1964-04,705",705
"1964-05,770",770
"1964-06,736",736
"1964-07,678",678
"1964-08,639",639
"1964-09,604",604
"1964-10,611",611
"1964-11,594",594
"1964-12,634",634
"1965-01,658",658
"1965-02,622",622
"1965-03,709",709
"1965-04,722",722
"1965-05,782",782
"1965-06,756",756
"1965-07,702",702
"1965-08,653",653
"1965-09,615",615
"1965-10,621",621
"1965-11,602",602
"1965-12,635",635
"1966-01,677",677
"1966-02,635",635
"1966-03,736",736
"1966-04,755",755
"1966-05,811",811
"1966-06,798",798
"1966-07,735",735
"1966-08,697",697
"1966-09,661",661
"1966-10,667",667
"1966-11,645",645
"1966-12,688",688
"1967-01,713",713
"1967-02,667",667
"1967-03,762",762
"1967-04,784",784
"1967-05,837",837
"1967-06,817",817
"1967-07,767",767
"1967-08,722",722
"1967-09,681",681
"1967-10,687",687
"1967-11,660",660
"1967-12,698",698
"1968-01,717",717
"1968-02,696",696
"1968-03,775",775
"1968-04,796",796
"1968-05,858",858
"1968-06,826",826
"1968-07,783",783
"1968-08,740",740
"1968-09,701",701
"1968-10,706",706
"1968-11,677",677
"1968-12,711",711
"1969-01,734",734
"1969-02,690",690
"1969-03,785",785
"1969-04,805",805
"1969-05,871",871
"1969-06,845",845
"1969-07,801",801
"1969-08,764",764
"1969-09,725",725
"1969-10,723",723
"1969-11,690",690
"1969-12,734",734
"1970-01,750",750
"1970-02,707",707
"1970-03,807",807
"1970-04,824",824
"1970-05,886",886
"1970-06,859",859
"1970-07,819",819
"1970-08,783",783
"1970-09,740",740
"1970-10,747",747
"1970-11,711",711
"1970-12,751",751
"1971-01,804",804
"1971-02,756",756
"1971-03,860",860
"1971-04,878",878
"1971-05,942",942
"1971-06,913",913
"1971-07,869",869
"1971-08,834",834
"1971-09,790",790
"1971-10,800",800
"1971-11,763",763
"1971-12,800",800
"1972-01,826",826
"1972-02,799",799
"1972-03,890",890
"1972-04,900",900
"1972-05,961",961
"1972-06,935",935
"1972-07,894",894
"1972-08,855",855
"1972-09,809",809
"1972-10,810",810
"1972-11,766",766
"1972-12,805",805
"1973-01,821",821
"1973-02,773",773
"1973-03,883",883
"1973-04,898",898
"1973-05,957",957
"1973-06,924",924
"1973-07,881",881
"1973-08,837",837
"1973-09,784",784
"1973-10,791",791
"1973-11,760",760
"1973-12,802",802
"1974-01,828",828
"1974-02,778",778
"1974-03,889",889
"1974-04,902",902
"1974-05,969",969
"1974-06,947",947
"1974-07,908",908
"1974-08,867",867
"1974-09,815",815
"1974-10,812",812
"1974-11,773",773
"1974-12,813",813
"1975-01,834",834
"1975-02,782",782
"1975-03,892",892
"1975-04,903",903
"1975-05,966",966
"1975-06,937",937
"1975-07,896",896
"1975-08,858",858
"1975-09,817",817
"1975-10,827",827
"1975-11,797",797
"1975-12,843",843
